client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
dfb1017ac306659ed88747a686031f304f8baf930269ad6b352f473a8745cb83f122fd3ffb921dd8ca7b8f9d148530dfd8245da95c71d226fb12abe3a40dfa9e	common_voice_bas_24605788.mp3	Me nyéñba len i boma.	0	2					bas	
22a3e3e3b9487c8c5845da56ccaaa4e5ce3138bc74bc239881f0cdd80e2c65c94e618ac1d2e36eb08c23cbbb1509889b4f4c4727f90efbdb095d4216ccd45dd8	common_voice_bas_24605824.mp3	Ba nyohna mambot i malép.	1	2					bas	
22a3e3e3b9487c8c5845da56ccaaa4e5ce3138bc74bc239881f0cdd80e2c65c94e618ac1d2e36eb08c23cbbb1509889b4f4c4727f90efbdb095d4216ccd45dd8	common_voice_bas_24605825.mp3	Me gwéé segesege nu lisege.	0	2					bas	
22a3e3e3b9487c8c5845da56ccaaa4e5ce3138bc74bc239881f0cdd80e2c65c94e618ac1d2e36eb08c23cbbb1509889b4f4c4727f90efbdb095d4216ccd45dd8	common_voice_bas_24605826.mp3	Yôba u nhañ bé i ñgim mambay.	0	2					bas	
22a3e3e3b9487c8c5845da56ccaaa4e5ce3138bc74bc239881f0cdd80e2c65c94e618ac1d2e36eb08c23cbbb1509889b4f4c4727f90efbdb095d4216ccd45dd8	common_voice_bas_24605827.mp3	Ba nségne me mañge nunu nségnege?	0	2					bas	
22a3e3e3b9487c8c5845da56ccaaa4e5ce3138bc74bc239881f0cdd80e2c65c94e618ac1d2e36eb08c23cbbb1509889b4f4c4727f90efbdb095d4216ccd45dd8	common_voice_bas_24605828.mp3	U nloñ me maôô.	0	2					bas	
42c4c4c543c7a3fca5f3543b0d2974be40b52e7f1d5b8507a59e9ff817d4a39b39ed64e00aab3899b368906ed5f0e7f09c21aeeea1f62d82fc4b43720b4eecd2	common_voice_bas_24621719.mp3	Libô li yé likonna woñi.	0	2					bas	
42c4c4c543c7a3fca5f3543b0d2974be40b52e7f1d5b8507a59e9ff817d4a39b39ed64e00aab3899b368906ed5f0e7f09c21aeeea1f62d82fc4b43720b4eecd2	common_voice_bas_24621722.mp3	A ñkwélha me ñgeñ iaa.	1	2					bas	
42c4c4c543c7a3fca5f3543b0d2974be40b52e7f1d5b8507a59e9ff817d4a39b39ed64e00aab3899b368906ed5f0e7f09c21aeeea1f62d82fc4b43720b4eecd2	common_voice_bas_24621726.mp3	Mudaa a nhyôônda ni nson.	1	2					bas	
42c4c4c543c7a3fca5f3543b0d2974be40b52e7f1d5b8507a59e9ff817d4a39b39ed64e00aab3899b368906ed5f0e7f09c21aeeea1f62d82fc4b43720b4eecd2	common_voice_bas_24628038.mp3	Lituñ jéé li mboñ le a pam béé i ti bôt.	2	3	fourties	female			bas	
42c4c4c543c7a3fca5f3543b0d2974be40b52e7f1d5b8507a59e9ff817d4a39b39ed64e00aab3899b368906ed5f0e7f09c21aeeea1f62d82fc4b43720b4eecd2	common_voice_bas_24628042.mp3	Me ni we di kaana bañ!	2	3	fourties	female			bas	
