client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
e0ddcf214016ed888d8cdb37a156c5aa1c10e8173fba5937328462bd02597b791ca9499b98133d69d7c21b74bf516613d3375435ad3a9f1e08dcff2620708faa	common_voice_ltg_38558852.mp3	Laičīne.	0	0	fourties	female	Viļāni,Viļānu pogosts,Latvija,Rīga,latgalīte,latviete		ltg	
4c2ca765239d590256ceaeecb4e86be33cd1d3d83003f672f25b65b1fc0e74a9955c2b923e59a74717de11b35466a97fa7d526d7ab4922b1775fb5d008393a9a	common_voice_ltg_38592323.mp3	Putynoj jau nu reita.	0	0					ltg	
2fddb9f32c3d525f62c68f5c8c7ad9e5b42afd2438683b967aeb34211a03909d529f2e6fcb7582dae3a4218f2bf93ad748c6d9098776f7c393696d4b208d3bd2	common_voice_ltg_38593263.mp3	Kū šudiņ ruoda Reiga?	1	0	twenties	female			ltg	
2fddb9f32c3d525f62c68f5c8c7ad9e5b42afd2438683b967aeb34211a03909d529f2e6fcb7582dae3a4218f2bf93ad748c6d9098776f7c393696d4b208d3bd2	common_voice_ltg_38593322.mp3	Juoņs ir gūda veirs.	0	0	twenties	female			ltg	
5198fe03f6d2e40d1c29a12c0b1bb094648d494d6d15322b52da352efd1591baa574b606f3cddb9797f1dd3354cd8d9a794c55a536eeb8ba4affc66890ed9189	common_voice_ltg_38594068.mp3	Kārmyns.	1	0			Latgalīšu volūdu asu apgivs pošvuiceibā. Bierneibā asu dzierdiejs latgalīšu volūdu fragmentarai, tok ūtri vacvacuoki runova sieliski, par tū īsavuiceit latgaliski nabeja gryuts. Kasdīnā reši saīt runuot, bīžuok latgaliski rokstu, skaitu i klausū.		ltg	
2fddb9f32c3d525f62c68f5c8c7ad9e5b42afd2438683b967aeb34211a03909d529f2e6fcb7582dae3a4218f2bf93ad748c6d9098776f7c393696d4b208d3bd2	common_voice_ltg_38595837.mp3	Kaida ir tova datora jauda?	1	1	twenties	female			ltg	
0e13834d4256145f003d086806dba1b30799321aa2f598bfd5de1ed9a263dbc9a77b5466fd9349e39879c62d8ae2f5067993de578e1473506859c6ec5580457b	common_voice_ltg_38596292.mp3	Esit tik laipnys, maņ, lyudzu, itūs galis salatus!	0	0					ltg	
d65271f9f56aca26c8641428f6121f7a17e7b9e6047d04298d483918b1ddce19baf5af0a42ee491d1f6fd2dce119a1228dce9787815974c8850cad810738f891	common_voice_ltg_38596426.mp3	Ar ūtra montu bogots napaliksi.	1	1					ltg	
9293f6d2281f7220975a354bc0639d48450833316aea34da63dd21d53bc1565417a5248d316db35a8c415634dd104ca6d86967eecf884b7870bc7f22b90b7160	common_voice_ltg_38597544.mp3	Lidineit.	1	1					ltg	
cb07d781da89d6a623a37c56addb82b9dfc8fd7ced03398deafe42f5e53bb8e4ca4db93823feea395e218031d43fcd8b12605535ce6a36202ff4f02fb74d3368	common_voice_ltg_38598071.mp3	Reizi, ūtru reizi vaicoju, nikuo...	1	0	thirties	female			ltg	
3ee4f2b3669efc599c76c1bf9ce31efb97f7a072e8c0aa322389b592091c18bb5d138163397f9105587531c0afae0ff318a645da94aa9f88c480e3109ce3c9a3	common_voice_ltg_38600551.mp3	Viersyune.	1	1	fourties	female			ltg	
3ee4f2b3669efc599c76c1bf9ce31efb97f7a072e8c0aa322389b592091c18bb5d138163397f9105587531c0afae0ff318a645da94aa9f88c480e3109ce3c9a3	common_voice_ltg_38600558.mp3	Skauroda.	1	0	fourties	female			ltg	
3ee4f2b3669efc599c76c1bf9ce31efb97f7a072e8c0aa322389b592091c18bb5d138163397f9105587531c0afae0ff318a645da94aa9f88c480e3109ce3c9a3	common_voice_ltg_38600605.mp3	Asu redziejs Kirupa muižys vacū oku, kura īškā vysa izlykta ar akminim.	1	0	fourties	female			ltg	
ee3cb22538b497f12ae14f8d0adc83292b6122d01b752f29fa9fea8a6c498d28ffdcc2cfee3a6c7590a0c1f9a7fe54eb7521be4e648d4817abe4eeab544f6fe7	common_voice_ltg_38604604.mp3	Baba apvalk jaunū bindzukeņu, moš kaidu pīktū reizi pasaver radzikulē, voi nav kū aizmiersuse.	1	0	thirties	female			ltg	
09e957120802670fff7470e5d72d0ae9f6a85ac184af2b0981183f1ee49f910942341a55345d600636dc7b28326e48e33ab4b577b8ddf79ffdca49d21c75073c	common_voice_ltg_38605244.mp3	Smuts.	1	1					ltg	
09e957120802670fff7470e5d72d0ae9f6a85ac184af2b0981183f1ee49f910942341a55345d600636dc7b28326e48e33ab4b577b8ddf79ffdca49d21c75073c	common_voice_ltg_38605362.mp3	Nu ceļa byusit pīkusuši.	1	0	thirties	female			ltg	
09e957120802670fff7470e5d72d0ae9f6a85ac184af2b0981183f1ee49f910942341a55345d600636dc7b28326e48e33ab4b577b8ddf79ffdca49d21c75073c	common_voice_ltg_38605466.mp3	Laiks puorīt tik mudri.	1	0	thirties	female			ltg	
cb07d781da89d6a623a37c56addb82b9dfc8fd7ced03398deafe42f5e53bb8e4ca4db93823feea395e218031d43fcd8b12605535ce6a36202ff4f02fb74d3368	common_voice_ltg_38607165.mp3	Kaida tova pavuorde?	1	0	thirties	female			ltg	
cb07d781da89d6a623a37c56addb82b9dfc8fd7ced03398deafe42f5e53bb8e4ca4db93823feea395e218031d43fcd8b12605535ce6a36202ff4f02fb74d3368	common_voice_ltg_38607315.mp3	Švuļpstyns.	1	0	thirties	female			ltg	
cb07d781da89d6a623a37c56addb82b9dfc8fd7ced03398deafe42f5e53bb8e4ca4db93823feea395e218031d43fcd8b12605535ce6a36202ff4f02fb74d3368	common_voice_ltg_38607380.mp3	Obruozs.	1	0	thirties	female			ltg	
cb07d781da89d6a623a37c56addb82b9dfc8fd7ced03398deafe42f5e53bb8e4ca4db93823feea395e218031d43fcd8b12605535ce6a36202ff4f02fb74d3368	common_voice_ltg_38607581.mp3	Dūma, skaidra kai bulta, dyurēs.	1	1	thirties	female			ltg	
cb07d781da89d6a623a37c56addb82b9dfc8fd7ced03398deafe42f5e53bb8e4ca4db93823feea395e218031d43fcd8b12605535ce6a36202ff4f02fb74d3368	common_voice_ltg_38607582.mp3	Pussveita.	1	0	thirties	female			ltg	
09e957120802670fff7470e5d72d0ae9f6a85ac184af2b0981183f1ee49f910942341a55345d600636dc7b28326e48e33ab4b577b8ddf79ffdca49d21c75073c	common_voice_ltg_38607755.mp3	Vērtīs sovom acim.	0	0	thirties	female			ltg	
a19ca77b1136e562980aa5bc93e925f25c48e3c31100684bc9040a0326644ee611fb4ac45ff558fcd8c3fc63cc419d0fa199c1cc7ab8ef4d2f13b9bf5cc21d86	common_voice_ltg_38607785.mp3	Pagrīz cīšuok — nikuo nasadzierd!	1	0					ltg	
6423f422c6d94f7516399c73ec7499bcff699fda43eeb8af3463f4857e38e34d24016f163bfa9eedb4cc2cd9fa6e2bc577da290bb68b8d3b7d23c2c7b6242144	common_voice_ltg_38607887.mp3	Ļaunit kurs atsasēst vacam cylvākam!	1	0			Viļāni, Rēzeknes novads. Latgaliete, kas dzīvo Rīgā.		ltg	
6423f422c6d94f7516399c73ec7499bcff699fda43eeb8af3463f4857e38e34d24016f163bfa9eedb4cc2cd9fa6e2bc577da290bb68b8d3b7d23c2c7b6242144	common_voice_ltg_38607914.mp3	Vysapleik zīd pučis – pyulīnis, magotkenis, meitineitis zaļumūs, nasturcejis i jau pa kaidai jurginei.	1	0			Viļāni, Rēzeknes novads. Latgaliete, kas dzīvo Rīgā.		ltg	
2833402dd912d82b65b240dc0e41b5400d04ec72c1053c6789b147201c198ce1cb8833cf324e2367abb9838ade9692f2ffcdc61c923823dc24b9f7d38a0a91f7	common_voice_ltg_38608015.mp3	Nivīnam naizruoda sovys nalaimis.	1	0	thirties	female	Viļāni, Rēzeknes novads. Latgaliete, kas dzīvo Rīgā.		ltg	
09e957120802670fff7470e5d72d0ae9f6a85ac184af2b0981183f1ee49f910942341a55345d600636dc7b28326e48e33ab4b577b8ddf79ffdca49d21c75073c	common_voice_ltg_38608293.mp3	Draudzine sēdēja blokus kai svātuos statuja.	1	0	thirties	female			ltg	
09e957120802670fff7470e5d72d0ae9f6a85ac184af2b0981183f1ee49f910942341a55345d600636dc7b28326e48e33ab4b577b8ddf79ffdca49d21c75073c	common_voice_ltg_38608462.mp3	Īsapierkšona.	1	0	thirties	female			ltg	
09e957120802670fff7470e5d72d0ae9f6a85ac184af2b0981183f1ee49f910942341a55345d600636dc7b28326e48e33ab4b577b8ddf79ffdca49d21c75073c	common_voice_ltg_38608465.mp3	Paeigā!	1	0	thirties	female			ltg	
09e957120802670fff7470e5d72d0ae9f6a85ac184af2b0981183f1ee49f910942341a55345d600636dc7b28326e48e33ab4b577b8ddf79ffdca49d21c75073c	common_voice_ltg_38608483.mp3	Škārsteikls.	1	0	thirties	female			ltg	
2833402dd912d82b65b240dc0e41b5400d04ec72c1053c6789b147201c198ce1cb8833cf324e2367abb9838ade9692f2ffcdc61c923823dc24b9f7d38a0a91f7	common_voice_ltg_38608487.mp3	Topoļs aba topuļs.	1	0	thirties	female	Viļāni, Rēzeknes novads. Latgaliete, kas dzīvo Rīgā.		ltg	
2833402dd912d82b65b240dc0e41b5400d04ec72c1053c6789b147201c198ce1cb8833cf324e2367abb9838ade9692f2ffcdc61c923823dc24b9f7d38a0a91f7	common_voice_ltg_38608498.mp3	Pirietīs.	1	0	thirties	female	Viļāni, Rēzeknes novads. Latgaliete, kas dzīvo Rīgā.		ltg	
2833402dd912d82b65b240dc0e41b5400d04ec72c1053c6789b147201c198ce1cb8833cf324e2367abb9838ade9692f2ffcdc61c923823dc24b9f7d38a0a91f7	common_voice_ltg_38608499.mp3	Kuprine.	1	0	thirties	female	Viļāni, Rēzeknes novads. Latgaliete, kas dzīvo Rīgā.		ltg	
09e957120802670fff7470e5d72d0ae9f6a85ac184af2b0981183f1ee49f910942341a55345d600636dc7b28326e48e33ab4b577b8ddf79ffdca49d21c75073c	common_voice_ltg_38608606.mp3	Šarabans.	1	0	thirties	female			ltg	
2833402dd912d82b65b240dc0e41b5400d04ec72c1053c6789b147201c198ce1cb8833cf324e2367abb9838ade9692f2ffcdc61c923823dc24b9f7d38a0a91f7	common_voice_ltg_38608745.mp3	Tai nav laika, vēļ nūvāluošu autobusu!	1	0	thirties	female	Viļāni, Rēzeknes novads. Latgaliete, kas dzīvo Rīgā.		ltg	
2833402dd912d82b65b240dc0e41b5400d04ec72c1053c6789b147201c198ce1cb8833cf324e2367abb9838ade9692f2ffcdc61c923823dc24b9f7d38a0a91f7	common_voice_ltg_38608749.mp3	Vacums naatīt vīns.	1	1	thirties	female	Viļāni, Rēzeknes novads. Latgaliete, kas dzīvo Rīgā.		ltg	
2833402dd912d82b65b240dc0e41b5400d04ec72c1053c6789b147201c198ce1cb8833cf324e2367abb9838ade9692f2ffcdc61c923823dc24b9f7d38a0a91f7	common_voice_ltg_38608764.mp3	Dīvs suņa bolsam naklausa vys.	1	0	thirties	female	Viļāni, Rēzeknes novads. Latgaliete, kas dzīvo Rīgā.		ltg	
2833402dd912d82b65b240dc0e41b5400d04ec72c1053c6789b147201c198ce1cb8833cf324e2367abb9838ade9692f2ffcdc61c923823dc24b9f7d38a0a91f7	common_voice_ltg_38608785.mp3	Plaukst byudi.	1	0	thirties	female	Viļāni, Rēzeknes novads. Latgaliete, kas dzīvo Rīgā.		ltg	
