client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
b01169e6d735ae22b180b3c0d99b28c32bc032f86468c6fe7bc50c5920aba596f55a4091fde263ff3d5fa428e419760941caeb6777af6888ab3c8795a170c7ea	common_voice_tk_37329134.mp3	Saklanybilmän gapyny biraz itdi.	1	0					tk	
add535d32071f0bb66de3afa4984037a01aca6d6fc80cf55676533c2a982e9df9a9689a158b8100ef32eaf4a4332b317e417d8d35006103df4749a88982be6f3	common_voice_tk_37766545.mp3	Ömründe hiçhili uçýan zat görmedik adamyň pikiri uçmak düşünjesine ýetmän biler.	0	0					tk	
add535d32071f0bb66de3afa4984037a01aca6d6fc80cf55676533c2a982e9df9a9689a158b8100ef32eaf4a4332b317e417d8d35006103df4749a88982be6f3	common_voice_tk_37766546.mp3	Emma käte birinden jany ýanan biriniň «Men saňa şunça ýagşylyk etdim.	0	1					tk	
add535d32071f0bb66de3afa4984037a01aca6d6fc80cf55676533c2a982e9df9a9689a158b8100ef32eaf4a4332b317e417d8d35006103df4749a88982be6f3	common_voice_tk_37766547.mp3	Iýmitlerimiz näçe howluksagam belli bir wagtyň dowamynda bişýär	0	0					tk	
0992f04117cf155309cb8162fadbb4e7fd27010b634bf9c7a0d31ef312ce11145ecbf4d339dc1e5c90d0997fa9f2b30502c9a7b937490b0a4f5923dbb963b089	common_voice_tk_37772616.mp3	Pynhan gapylar hem az däldi.	1	0					tk	
0992f04117cf155309cb8162fadbb4e7fd27010b634bf9c7a0d31ef312ce11145ecbf4d339dc1e5c90d0997fa9f2b30502c9a7b937490b0a4f5923dbb963b089	common_voice_tk_37772619.mp3	eýgilige bolsun-da hernä.	1	0					tk	
afc1c3760a08138ff21223cbf19d43faefa89f8bfda862d2682085a3d2cce11ef3a1812653c8d23fc3c7517b69137a18045a56109519e0aa613ca8cebc2d6f9e	common_voice_tk_37772685.mp3	Şonda-da kän wagtlap köşeşip bilmändim.	1	0					tk	
afc1c3760a08138ff21223cbf19d43faefa89f8bfda862d2682085a3d2cce11ef3a1812653c8d23fc3c7517b69137a18045a56109519e0aa613ca8cebc2d6f9e	common_voice_tk_37772686.mp3	Pukara nazary geýnüwli ýigide düşenden hasam müýnürgän Nurumyň ejesi:	0	0					tk	
afc1c3760a08138ff21223cbf19d43faefa89f8bfda862d2682085a3d2cce11ef3a1812653c8d23fc3c7517b69137a18045a56109519e0aa613ca8cebc2d6f9e	common_voice_tk_37772807.mp3	Az diýsemem ýaş ýigitden başlap, orta ýaşan, ýaşy bir çene baran adamlaryňam ýazan	1	0	twenties	male			tk	
2055ff4206506f1c8311eabec3655f6a139b90cc48cc733c6623ff5bb169731c636c154f61a11ea7364b3c13a0f11d3bddb86ccddb1547d97e6a22a298754e65	common_voice_tk_37772917.mp3	Biziňkileriň köpüsiniň toýy sentýabra gabat gelýär.	1	0					tk	
2055ff4206506f1c8311eabec3655f6a139b90cc48cc733c6623ff5bb169731c636c154f61a11ea7364b3c13a0f11d3bddb86ccddb1547d97e6a22a298754e65	common_voice_tk_37772952.mp3	Onuň dilinde, türkmen dilinde «saryýa» diýen söz ýok.	0	1					tk	
2055ff4206506f1c8311eabec3655f6a139b90cc48cc733c6623ff5bb169731c636c154f61a11ea7364b3c13a0f11d3bddb86ccddb1547d97e6a22a298754e65	common_voice_tk_37772985.mp3	şol wagt bolsa mertebämi depeleýänimi duýmandyryn.	0	0					tk	
2055ff4206506f1c8311eabec3655f6a139b90cc48cc733c6623ff5bb169731c636c154f61a11ea7364b3c13a0f11d3bddb86ccddb1547d97e6a22a298754e65	common_voice_tk_37772988.mp3	Emma mesele başga ýerde.	1	0					tk	
2055ff4206506f1c8311eabec3655f6a139b90cc48cc733c6623ff5bb169731c636c154f61a11ea7364b3c13a0f11d3bddb86ccddb1547d97e6a22a298754e65	common_voice_tk_37772991.mp3	Garry mamam çagalaryny eklemek üçin traktor sürmäni öwrenýär.	0	0					tk	
e9869c99477d20c5b71ab5b1d5ed3a841cc20d94074ae30a38b2d5c0f9588fc752b2ce57b5d7ed792f71f6aeb321a0073e8fbc34e72a5e12255159fabb6ac92f	common_voice_tk_37773045.mp3	Bazara äkidip satsak, kän pulumyz bor.	1	0	twenties	male			tk	
e9869c99477d20c5b71ab5b1d5ed3a841cc20d94074ae30a38b2d5c0f9588fc752b2ce57b5d7ed792f71f6aeb321a0073e8fbc34e72a5e12255159fabb6ac92f	common_voice_tk_37773047.mp3	Ýöne ýarag niýetine ulanylmaýar.	1	0	twenties	male			tk	
e9869c99477d20c5b71ab5b1d5ed3a841cc20d94074ae30a38b2d5c0f9588fc752b2ce57b5d7ed792f71f6aeb321a0073e8fbc34e72a5e12255159fabb6ac92f	common_voice_tk_37773049.mp3	Aý ýok, edil meniňki hä diýip bilmerin.	1	1	twenties	male			tk	
e9869c99477d20c5b71ab5b1d5ed3a841cc20d94074ae30a38b2d5c0f9588fc752b2ce57b5d7ed792f71f6aeb321a0073e8fbc34e72a5e12255159fabb6ac92f	common_voice_tk_37773077.mp3	Bu siziň diňleýän aýdymyňyza, size berlen tans etmek ukybyna sylagsyzlykdyr.	0	0	twenties	male			tk	
e9869c99477d20c5b71ab5b1d5ed3a841cc20d94074ae30a38b2d5c0f9588fc752b2ce57b5d7ed792f71f6aeb321a0073e8fbc34e72a5e12255159fabb6ac92f	common_voice_tk_37773078.mp3	Indi rak barada gürrüň açylan ýerlerinde siziň hem bir pikire eýe bolmagyňyz has aňsat.	1	1	twenties	male			tk	
e9869c99477d20c5b71ab5b1d5ed3a841cc20d94074ae30a38b2d5c0f9588fc752b2ce57b5d7ed792f71f6aeb321a0073e8fbc34e72a5e12255159fabb6ac92f	common_voice_tk_37773081.mp3	Dogtor ýagdaýy eşidensoň oňa gaçmagyň usulyny öwredýär.	0	0	twenties	male			tk	
e9869c99477d20c5b71ab5b1d5ed3a841cc20d94074ae30a38b2d5c0f9588fc752b2ce57b5d7ed792f71f6aeb321a0073e8fbc34e72a5e12255159fabb6ac92f	common_voice_tk_37773097.mp3	Emma hakyna seretseň, bu pikirleri eden sen, ýagşylyk diňe seni synagdan geçirýär.	0	0	twenties	male			tk	
e9869c99477d20c5b71ab5b1d5ed3a841cc20d94074ae30a38b2d5c0f9588fc752b2ce57b5d7ed792f71f6aeb321a0073e8fbc34e72a5e12255159fabb6ac92f	common_voice_tk_37773098.mp3	hemem ummanyň tümlüklerinde ýaşaýan jandarlara iýmitlik ähmiýeti juda möhüm bolan uglerody eltip berýär.	0	0	twenties	male			tk	
