client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891663.mp3	A cherh a sau nga.	1	2					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891665.mp3	Khua vennak ah ralhruang an sa.	1	2					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891666.mp3	Favai cu vok rawl caah an hma.	0	2					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891667.mp3	Na sur in nga ka tlaih na.	1	2					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891668.mp3	Ruah a sur lo i tivate an ko di.	1	2					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891669.mp3	Ke hnawhnak cu innpi luhnak ah chiah a si taw.	1	2					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891670.mp3	A mitsir in a ka ven pen.	1	2					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891687.mp3	Thlacamnak cu rimhmui raithawinak bantuk a s.	1	2					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891688.mp3	Ui hrut sehnak in a th.	1	2					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891689.mp3	Bia in kan i phehnak bantuk in tuahnak i i pheh khawh a si v.	0	2					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891691.mp3	Changreu cu namte in kan a.	0	3					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891693.mp3	Khoi, in bawm nin.	0	2					cnh	
82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1	common_voice_cnh_17891694.mp3	Na lung a vaihvuanh ah cun khua awng na tong lai l.	1	2					cnh	
