client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38078775.mp3	אינני יכולה לכתוב בפרוטרוט על העיר חיפה	0	1	eighties	male			he	
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38085647.mp3	הַכְנִיסִינִי תַּחַת כְּנָפֵךְ	1	1	eighties	male			he	
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38104808.mp3	לא נעים לי להגיד לכם את האמת.	1	1	eighties	male			he	
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38104810.mp3	נסע לרגל עסקיו לשלושה שבועות. שב נא.	0	1	eighties	male			he	
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38104822.mp3	אֵין אֲנִי מְנַסָּה לִנְהוֹג כָּךְ.	1	1	eighties	male			he	
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38104825.mp3	תַּרְשִׁים שֶׁל מִקְדָּשׁ וְאִגֶּרֶת מֵעִם הַמֶּלֶךְ חִירָם אֶל שְׁלֹמֹה הַמֶּלֶךְ הַיּוֹשֵׁב בִּירוּשָׁלַיִם	1	1	eighties	male			he	
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38104833.mp3	כָּאן נִכְנְסוּ הַחַיִּים לְמַסְלוּל קָבוּעַ וְהֵם שׁוֹטְפִים, אוֹ, בְּיֶתֶר דִּיּוּק, זוֹחֲלִים.	1	0	eighties	male			he	
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38104835.mp3	אַחַת אַחַת נָשְׁרוּ הַשְּׂמָחוֹת – וְרֹאשֵׁנוּ נָבֵל.	1	1	eighties	male			he	
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38115876.mp3	והיכן הוא עכשיו, אם מותר לשאול?	1	1	eighties	male			he	
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38115878.mp3	עוד חצי תריסר כמותך לא תמצא כאן, ערב אני לך.	1	0	eighties	male			he	
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38118865.mp3	השולחן החדש יפה, אבל אהבתי את הקודם יותר.	1	1	eighties	male			he	
b6bcd36b200c47aa8c907f5dcdb343d5288d9fa2ac3c6bc3a5154f15344b5318c9673475ff58c1d0c89e6fa7c34d720a0b57788ab7a570fbbfa4a9935e6ba568	common_voice_he_38118872.mp3	אִגֶּרֶת זוֹ לֹא תְּסֻלָּא בַּפָּז. אִישׁ לֹא זָכָה לְתַגְלִית כָּזֹאת.	0	1	eighties	male			he	
b81c0ee5a1b8f79ea5bfcc0b618eae446ff17911761ace4739bd79edbae075e0ab45c44cfa2fde68bb59f7601dc90cedea96af279d18ed305b795921e58df30e	common_voice_he_38130908.mp3	יִהְיֶה מְקוֹר הַהַחְלָטָה מָה שֶׁיִּהְיֶה.	1	0	thirties	male			he	
