client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
4e034c5240bda98e2022122045ea9bb4e406b9f886c9eb7661547cf590a85f019b76ff0c9ceaa7ff1ce43c120327a15b5d9cbd14b54dc5ad91ba9a0fa3fe3d0d	common_voice_hi_25248772.mp3	दिल्ली में चोरी की पाठशाला, नाबालिगों को दी जाती थी ट्रेनिंग	0	0					hi	
3d60da54a5e96710c627c37362c5f17d026c725b99466b5596f08c6584beafa8dd546aff3ef61dd1cfda5150cdd82d08970d8ad36a49e933571b903361a6cbdd	common_voice_hi_25269110.mp3	आप मेरी मदद कर सकते हैं।	0	0					hi	
ea8ef3168cd29cf3bb33c603fc49336a1b58747fac2bdd17b4f6d59f24ed30a903a1b574e5d276035f8c3141478664e8f36c46a55fb6637e08b183a0969615a0	common_voice_hi_25666527.mp3	बीस साल बीत गए हैं।	0	0	twenties	female			hi	
ea8ef3168cd29cf3bb33c603fc49336a1b58747fac2bdd17b4f6d59f24ed30a903a1b574e5d276035f8c3141478664e8f36c46a55fb6637e08b183a0969615a0	common_voice_hi_25666703.mp3	तुम्हारी भाषा मुझे समझ आती है।	0	0	twenties	female			hi	
345ead41094d4bf4aae58398d87ab219b6ffd948dd640a1a2a4da43e2522343c539d11a27052a9cca1014b590e440971db0710852df02639dc9f3d304469aaca	common_voice_hi_25982691.mp3	Oh no! जल्द बंद होने जा रहे हैं टीवी के ये दो पॉपुलर शो	0	0	twenties	male			hi	
1963c5f396b43a02ea6a7cf2cacaafb042bfe53209c711d2325e2e4cfd7185370746e463b5ceb83f9ac807e048b8891b494db95e3bd7eccfbef896877eea9bbc	common_voice_hi_25983782.mp3	उसने वसीयत में अपनी पत्नी को सारी जायदाद छोड़ दी।	1	1	twenties	male			hi	
1963c5f396b43a02ea6a7cf2cacaafb042bfe53209c711d2325e2e4cfd7185370746e463b5ceb83f9ac807e048b8891b494db95e3bd7eccfbef896877eea9bbc	common_voice_hi_25983835.mp3	तुम्हारे बदले मैं वहाँ जाऊँगा।	1	1	twenties	male			hi	
1963c5f396b43a02ea6a7cf2cacaafb042bfe53209c711d2325e2e4cfd7185370746e463b5ceb83f9ac807e048b8891b494db95e3bd7eccfbef896877eea9bbc	common_voice_hi_25983935.mp3	ट्रंप फिर बोले, भारत-पाकिस्तान चाहें तो कश्मीर पर मैं मध्यस्थता को तैयार	1	1	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26005261.mp3	गुजरात पर राहुल गांधी का खास फोकस, जून के तीसरे हफ्ते में करेंगे दौरा	0	1	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26005400.mp3	बकवास।	1	0	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26005501.mp3	मकर संक्राति पर एमएनएस ने उगली नफरत की आग	1	0	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26005510.mp3	मैं जर्मन हूँ।	1	0	twenties	male			hi	
0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3	common_voice_hi_26010591.mp3	यह बंदा कमाल कर सकता है।	1	1					hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26019871.mp3	होली पर खूब मस्ती कीजिए, पर जरा भांग से बचके...	1	1	twenties	male			hi	
0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3	common_voice_hi_26032940.mp3	जानें, अंजनी पुत्र हनुमानजी की जन्मकथा के बारे में...	1	1					hi	
0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3	common_voice_hi_26037223.mp3	पिकासो एक बहुत प्रसिद्ध कलाकार है।	1	1					hi	
0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3	common_voice_hi_26037224.mp3	सेक्स सर्वे: परंपरा की नहीं परवाह	1	1					hi	
0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3	common_voice_hi_26037225.mp3	अब महीने के आखिर तक बचेगी सैलरी, बस कर लें काम!	1	1					hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26037227.mp3	उसकी नई टोपी उसपर जँचती है।	1	0	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26040788.mp3	मैं आपके अच्छेपन को कभी नहीं भूलूँगा।	1	0	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26040790.mp3	यह पाय किसने बनाई है?	1	1	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26040794.mp3	राष्ट्रीय हित तय करेंगे अमेरिका-पाक के रिश्ते: गिलानी	1	0	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26040799.mp3	ब्रिटेन के स्कूल ने आलोचना के बाद बच्चियों के हिजाब पर बैन हटाया	1	1	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26040809.mp3	उज्जैन में महाकाल का सुरक्षित अभिषेक!	1	0	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26040811.mp3	यह इटली है।	1	0	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26040821.mp3	हम टॉम को यहाँ नहीं छोड़ सकते।	1	0	twenties	male			hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26040826.mp3	गीता ने इतिहास रचकर कुश्ती में दिलाया पांचवां स्वर्ण	1	0	twenties	male			hi	
