client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
11d2e8f8c1086faf18aed331b062a677776a6b4a48742adcff859d8ac7ffd35de0aaa8df01b87aebf791a624f859b52ddf02fd7f118245d0e2a6cadff54a296b	common_voice_ckb_28905039.mp3	ئیعلانیشدیاندا.	1	2					ckb	
11d2e8f8c1086faf18aed331b062a677776a6b4a48742adcff859d8ac7ffd35de0aaa8df01b87aebf791a624f859b52ddf02fd7f118245d0e2a6cadff54a296b	common_voice_ckb_28921089.mp3	تەنھا چەند نەخۆشێک کە بەرگریان کەمە بەسەختی تووشی ھەوکردنی سیستەمی ھەناسەدان دەبن.	0	2					ckb	
88c649706a78c3a17422d00e9421c16e4b78ca48ec59d5e9706e3562446bc7d8f63dd12b1f01f48dd6dbeffb3e0f696831d854046781bb6488ebd14d06d497b9	common_voice_ckb_28929171.mp3	من خهونهکم وهدی دههات	2	4			سۆرانی موکریانی		ckb	
f37be05e37a82e140dd90442b7bd3d0aa39dad96b3ba738448e6c0a0725a2749e1373c1b0b4636355bfbe3b54a16009f974e216720929ff7937cfa84240f981e	common_voice_ckb_28938556.mp3	کەشتی ئاسمانی نوێی ناسا گرفتی تەکنیکی هەیە	1	2					ckb	
f37be05e37a82e140dd90442b7bd3d0aa39dad96b3ba738448e6c0a0725a2749e1373c1b0b4636355bfbe3b54a16009f974e216720929ff7937cfa84240f981e	common_voice_ckb_28938563.mp3	سینەمای هۆڵیوود و جیهان دەناسرێت	0	2					ckb	
f37be05e37a82e140dd90442b7bd3d0aa39dad96b3ba738448e6c0a0725a2749e1373c1b0b4636355bfbe3b54a16009f974e216720929ff7937cfa84240f981e	common_voice_ckb_28938667.mp3	گرووپە پسپۆڕیەکە ڕایانگەیاند کە هەمووان ژیانێکی پارێزراویان پێداوە و حکومەتیش بەرپرسیارێتیەکە ئەگرێتە ئەستۆ.	0	2					ckb	
f37be05e37a82e140dd90442b7bd3d0aa39dad96b3ba738448e6c0a0725a2749e1373c1b0b4636355bfbe3b54a16009f974e216720929ff7937cfa84240f981e	common_voice_ckb_28938670.mp3	بۆ چاوێکی هەرزانە	1	2					ckb	
fe9b533764b54eac9d7e3697a29555452e5f219b3db66ae0617acd4da18f848efd0ef60a0e115eb63d7ec3cc01212f1d752360619178b14106f8988df9426d15	common_voice_ckb_28940575.mp3	چونکە لەواندا ئەگەری لەدایکبوونی منداڵی ناکام و کەمئەندام زیاترە	1	2	thirties	male			ckb	
7da5333c3694aee3a8fe8ee6acbbd63a905f537a13c90d3960a0ee45e5b36f365aa63b661b08ce21fd9c7aa41493c48b809c43d84ad4d4de06a1129e3aa653fe	common_voice_ckb_28948561.mp3	لە مەنجەڵێکی ئەنا و تێکەڵی دەکردن	1	2					ckb	
fe9b533764b54eac9d7e3697a29555452e5f219b3db66ae0617acd4da18f848efd0ef60a0e115eb63d7ec3cc01212f1d752360619178b14106f8988df9426d15	common_voice_ckb_28953000.mp3	خودا نەکەردە دییەو بکا ئێش	1	2					ckb	
fe9b533764b54eac9d7e3697a29555452e5f219b3db66ae0617acd4da18f848efd0ef60a0e115eb63d7ec3cc01212f1d752360619178b14106f8988df9426d15	common_voice_ckb_28953077.mp3	هەر بەتەنیا بۆ کوڕی خاوەن تەلار و عانەیە	1	2					ckb	
f37be05e37a82e140dd90442b7bd3d0aa39dad96b3ba738448e6c0a0725a2749e1373c1b0b4636355bfbe3b54a16009f974e216720929ff7937cfa84240f981e	common_voice_ckb_28967502.mp3	لە سەر سهری دهگەڕێ	1	2					ckb	
f37be05e37a82e140dd90442b7bd3d0aa39dad96b3ba738448e6c0a0725a2749e1373c1b0b4636355bfbe3b54a16009f974e216720929ff7937cfa84240f981e	common_voice_ckb_28974059.mp3	دواتر بە ھێواشی خەڵکی ئێرانی نەژاد لەم ناوچەیەدا جێگیر بوون	1	2					ckb	
f37be05e37a82e140dd90442b7bd3d0aa39dad96b3ba738448e6c0a0725a2749e1373c1b0b4636355bfbe3b54a16009f974e216720929ff7937cfa84240f981e	common_voice_ckb_28974102.mp3	بەیتی محمەدی حەنیفە	0	2					ckb	
