client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
93fa435db2b9e077af647c9f846d8b6031bcb1f6cd731e894a835e70a0ab4aec1faffce01c882bdcdcb854b98b601c83a1c412bae8e5ee411556f0e2f88c1c5c	common_voice_hy-AM_26600902.mp3	Վեպը միանգամից մեծ ճանաչում ձեռք բերեց։	0	0	twenties	male			hy-AM	
93fa435db2b9e077af647c9f846d8b6031bcb1f6cd731e894a835e70a0ab4aec1faffce01c882bdcdcb854b98b601c83a1c412bae8e5ee411556f0e2f88c1c5c	common_voice_hy-AM_26600920.mp3	Իսկ հայրենիքում մեծ թափով արտագաղթ էր սկսվել։	0	0	twenties	male			hy-AM	
93fa435db2b9e077af647c9f846d8b6031bcb1f6cd731e894a835e70a0ab4aec1faffce01c882bdcdcb854b98b601c83a1c412bae8e5ee411556f0e2f88c1c5c	common_voice_hy-AM_26610446.mp3	Իր կարիերան սկսել է որպես լրագրող։	1	1	twenties	male			hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26783025.mp3	Ավարտել է ռազմական ուսումնարանը ստանալով ենթասպայի աստիճան։	1	0					hy-AM	
b5f49352aa3361a1ed8000a4bd63fad53788280870a2d2cd743093a3d96013f73f4caddf5c036afaa68038c7d4e99a567aee464c7af133c413a303227d298248	common_voice_hy-AM_26820339.mp3	Պատվաստանյութը ներմուծելուն պես լիմֆոցիտների արտադրության բարձացման հետ մեկտեղ կիջնի լեյկոցիտների ակտիվությունը։	1	0					hy-AM	
93fa435db2b9e077af647c9f846d8b6031bcb1f6cd731e894a835e70a0ab4aec1faffce01c882bdcdcb854b98b601c83a1c412bae8e5ee411556f0e2f88c1c5c	common_voice_hy-AM_26865785.mp3	Եվ, հիրավի, ֆրանսիական մամուլը աղմուկ բարձրացրեց իրենց ազգային արժանապատվության ոտնահարման համար։	1	0	twenties	male			hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26927066.mp3	Սակայն միանշանակ ունիվերսալ լուծումներ դեռ չկան։	1	1					hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_26927601.mp3	Մանկուց երազել է բալետի պարուհի դառնա։	1	1					hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_27072401.mp3	Նա հանդես է եկել որպես ձախ եզրային պաշտպան։	1	0					hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_27090037.mp3	Մուսսոնները տարվա ընթացքում երկու անգամ ուղղությունը փոխող քամիներ են։	1	1					hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_27126968.mp3	Հետագայում դրանք հողմնահարվում են, քայքայվում, համահարթեցվում։	1	1					hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_27160415.mp3	Բժիշկի առօրեայէն «փրցուած» այս պատմուածքները ներկայացուած են հոգեբանական խոր վերլուծումներով։	1	0					hy-AM	
6ac14a247076239cdd4599e6a633cd28645f1b88253a5806a2b4768eb9671201d16ce6331e068d7e0998ac9e86913d35f4fd71bf493e1a670012bf757c66c3ff	common_voice_hy-AM_27469790.mp3	Նա փորձել է հետազոտել մի շարք քաղաքակրթությունների դիցաբանությունը, լեզուն և մշակույթը։	1	1	teens	female			hy-AM	
93fa435db2b9e077af647c9f846d8b6031bcb1f6cd731e894a835e70a0ab4aec1faffce01c882bdcdcb854b98b601c83a1c412bae8e5ee411556f0e2f88c1c5c	common_voice_hy-AM_27485654.mp3	Քիմիապես ակտիվ տարր է։	1	1	twenties	male			hy-AM	
93fa435db2b9e077af647c9f846d8b6031bcb1f6cd731e894a835e70a0ab4aec1faffce01c882bdcdcb854b98b601c83a1c412bae8e5ee411556f0e2f88c1c5c	common_voice_hy-AM_27485687.mp3	Շարունակած է գրել։	1	0	twenties	male			hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_27493509.mp3	Այն իրենից ներկայացնում էր ժամանակակից որևէ նկարչի աշխատանք (ամեն տարի նորը)։	1	1					hy-AM	
f0aba38a8ab8705a40d05d96829ded5738a7eec7a9a182394c2ed288fc1c64553abcb1e0c4c966ffab9e8b76c27616b9f0503f92c42fe11249af36c50d3de5ef	common_voice_hy-AM_27493625.mp3	Ամերիկացի երգիչ և պրոդյուսեր է։	1	1					hy-AM	
2f6cbba7040916d191a33342165afc83423b9c9224190d53b12ca73285c16c401a947c9e525fa10d71528b92db51c8d952c68067c7773e37903ba2ca2bd226b2	common_voice_hy-AM_27496277.mp3	Արձանագրության եռալեզու տեքստի մեկնումը օգնեց գիտնականներին պարսկական սեպագրերի մեկնման գործում։	1	1	thirties	female			hy-AM	
2f6cbba7040916d191a33342165afc83423b9c9224190d53b12ca73285c16c401a947c9e525fa10d71528b92db51c8d952c68067c7773e37903ba2ca2bd226b2	common_voice_hy-AM_27511918.mp3	Եռյակը վերադառնում է կրկես։	1	0	thirties	female			hy-AM	
