client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
7f7409f3368911ccc8afdc92995c6b5c2f989c1a492c14b182159fb2c8cf93327378a5c076f72ee4594548c717c4e9c7ef091993a864511adf98c7a8abdaad95	common_voice_pa-IN_22929925.mp3	ਇੰਗਲੈਂਡ ਤਾਂ ਸਿਰਫ਼ ਕੁੜੀ ਹੀ ਜਾ ਸਕਦੀ ਹੈ	1	0	twenties	male			pa-IN	
7f7409f3368911ccc8afdc92995c6b5c2f989c1a492c14b182159fb2c8cf93327378a5c076f72ee4594548c717c4e9c7ef091993a864511adf98c7a8abdaad95	common_voice_pa-IN_22929933.mp3	ਉਸ ਨੂੰ ਕੁਦਰਤੀ ਅੰਦਾਜ਼ ਵਿਚ ਬੋਲਣ ਦਿਓ	1	1	twenties	male			pa-IN	
7f7409f3368911ccc8afdc92995c6b5c2f989c1a492c14b182159fb2c8cf93327378a5c076f72ee4594548c717c4e9c7ef091993a864511adf98c7a8abdaad95	common_voice_pa-IN_22929944.mp3	ਸਤੰਬਰ ਦੇ ਅੰਤ ਵਿੱਚ ਰਿਲੀਜ਼ ਹੋਵੇਗੀ ਰਹਿਮਤਾਂ	1	1	twenties	male			pa-IN	
7f7409f3368911ccc8afdc92995c6b5c2f989c1a492c14b182159fb2c8cf93327378a5c076f72ee4594548c717c4e9c7ef091993a864511adf98c7a8abdaad95	common_voice_pa-IN_22929959.mp3	ਇਸੇ ਕਰਕੇ ਨੌਜਵਾਨਾਂ ਵਿੱਚ ਅਸੁੰਤਸ਼ਟਤਾ ਹੈ	1	1	twenties	male			pa-IN	
7f7409f3368911ccc8afdc92995c6b5c2f989c1a492c14b182159fb2c8cf93327378a5c076f72ee4594548c717c4e9c7ef091993a864511adf98c7a8abdaad95	common_voice_pa-IN_22936659.mp3	ਫੜ੍ਹਾਂ ਮਾਰਦਾ ਐ ਫੋਨਾ ਅਤੇ ਸਕੂਟਰਾਂ ਦੀਆਂ	1	1	twenties	male			pa-IN	
7f7409f3368911ccc8afdc92995c6b5c2f989c1a492c14b182159fb2c8cf93327378a5c076f72ee4594548c717c4e9c7ef091993a864511adf98c7a8abdaad95	common_voice_pa-IN_22936665.mp3	ਸੇਵਾ ਕਰ ਲਓ ਜਿੰਨੀ ਹੁੰਦੀ ਐ	0	1	twenties	male			pa-IN	
7f7409f3368911ccc8afdc92995c6b5c2f989c1a492c14b182159fb2c8cf93327378a5c076f72ee4594548c717c4e9c7ef091993a864511adf98c7a8abdaad95	common_voice_pa-IN_22936687.mp3	ਲੋਕ ਨੇ ਨੀਂਹ ਪੱਥਰ ਨੇ ਨੇਤਾ ਨੇ	0	1	twenties	male			pa-IN	
7f7409f3368911ccc8afdc92995c6b5c2f989c1a492c14b182159fb2c8cf93327378a5c076f72ee4594548c717c4e9c7ef091993a864511adf98c7a8abdaad95	common_voice_pa-IN_22936693.mp3	ਆਹੋ ਹੁਣ ਤਾਂ ਤੂੰ ਕਹਿਣਾ ਈ ਐਂ	1	1	twenties	male			pa-IN	
7f7409f3368911ccc8afdc92995c6b5c2f989c1a492c14b182159fb2c8cf93327378a5c076f72ee4594548c717c4e9c7ef091993a864511adf98c7a8abdaad95	common_voice_pa-IN_22936702.mp3	ਬਤੌਰ ਪਤੀ ਉਹ ਕਿਹੋ ਜਿਹੇ ਸਨ	1	0	twenties	male			pa-IN	
7f7409f3368911ccc8afdc92995c6b5c2f989c1a492c14b182159fb2c8cf93327378a5c076f72ee4594548c717c4e9c7ef091993a864511adf98c7a8abdaad95	common_voice_pa-IN_22936703.mp3	ਲਾਲ ਜ਼ਰੀ ਦਾ ਪਾ ਕੇ ਸੂਟ	0	1	twenties	male			pa-IN	
