client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
bb8ed222e265886b49b3a17f0a7343fd2638d83563d66645186bbe267de32628adebb3ff470499f81394e791ea24aef2e717797e12b8c8493c7ffb889445de46	common_voice_fi_25058198.mp3	Ehkä ensikerralla jätän aseenkin kotiin, ettei sitä tarvitse turhaan kantaa.	0	0					fi	
8a47121d35e6f8cd6ef71e56b2aca08664ca4ff3db65797e4079d097f3b8ef57d6562ff2d5eaa5a0a472fca3af3b6425ad781b9862361d7082127ea184e27b39	common_voice_fi_25466524.mp3	Äänestin mietinnön puolesta, koska siinä suositellaan ehdotuksen hyväksymistä.	1	0					fi	
cea18d12298f2bbae520713a1cfcf05e63b2b9470dcc0adadabc81e69d8d57a0f3c22c06bc4f280d08b9084d3e16b22b3c5d60f7711c9db8dba0d3f53075a34e	common_voice_fi_25468360.mp3	Äänestäjäni ovat päinvastoin iloisia, että parlamentti on tällä kertaa hoitanut tämän tehtävän.	1	0	fourties	female			fi	
cea18d12298f2bbae520713a1cfcf05e63b2b9470dcc0adadabc81e69d8d57a0f3c22c06bc4f280d08b9084d3e16b22b3c5d60f7711c9db8dba0d3f53075a34e	common_voice_fi_25570245.mp3	Sullouduin sulloutumistani ja pian pullahdin sisälle tappiaiskartanoon.	1	0	fourties	female			fi	
cea18d12298f2bbae520713a1cfcf05e63b2b9470dcc0adadabc81e69d8d57a0f3c22c06bc4f280d08b9084d3e16b22b3c5d60f7711c9db8dba0d3f53075a34e	common_voice_fi_25586054.mp3	Nykyiset rajoitustoimet ovat luonteeltaan pääasiassa hyvin yleisiä ja laajoja fyysisten kontaktien vähentämiseen tähtääviä rajoituksia.	1	0	fourties	female			fi	
cea18d12298f2bbae520713a1cfcf05e63b2b9470dcc0adadabc81e69d8d57a0f3c22c06bc4f280d08b9084d3e16b22b3c5d60f7711c9db8dba0d3f53075a34e	common_voice_fi_25595104.mp3	Mihin sitä olinkaan pääni taas pistänyt.	1	0					fi	
cea18d12298f2bbae520713a1cfcf05e63b2b9470dcc0adadabc81e69d8d57a0f3c22c06bc4f280d08b9084d3e16b22b3c5d60f7711c9db8dba0d3f53075a34e	common_voice_fi_25596801.mp3	Sitä täytyi hänen nyt pysähtyä katsomaan.	1	1					fi	
cea18d12298f2bbae520713a1cfcf05e63b2b9470dcc0adadabc81e69d8d57a0f3c22c06bc4f280d08b9084d3e16b22b3c5d60f7711c9db8dba0d3f53075a34e	common_voice_fi_25596887.mp3	Äänestimme edellä mainittujen seikkojen perusteella.	1	0					fi	
cea18d12298f2bbae520713a1cfcf05e63b2b9470dcc0adadabc81e69d8d57a0f3c22c06bc4f280d08b9084d3e16b22b3c5d60f7711c9db8dba0d3f53075a34e	common_voice_fi_25598606.mp3	Lähdin astelemaan kohti kotiovea.	0	0					fi	
cea18d12298f2bbae520713a1cfcf05e63b2b9470dcc0adadabc81e69d8d57a0f3c22c06bc4f280d08b9084d3e16b22b3c5d60f7711c9db8dba0d3f53075a34e	common_voice_fi_25598622.mp3	Äänestimme tämän vuoksi mietinnön puolesta ohjelman joistakin puutteista huolimatta.	1	1					fi	
