client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
941db464ea78a6abcb55c82d52da03e2b9d1a046f28936b2db0a8b694c53c202975eab88f14ad5f6318d9b09812ddafc3de7a0d66d1233fac3e85205b8cf0fd4	common_voice_sk_24306588.mp3	Faerské ostrovy	0	2					sk	
941db464ea78a6abcb55c82d52da03e2b9d1a046f28936b2db0a8b694c53c202975eab88f14ad5f6318d9b09812ddafc3de7a0d66d1233fac3e85205b8cf0fd4	common_voice_sk_24311461.mp3	opitosť	0	2					sk	
941db464ea78a6abcb55c82d52da03e2b9d1a046f28936b2db0a8b694c53c202975eab88f14ad5f6318d9b09812ddafc3de7a0d66d1233fac3e85205b8cf0fd4	common_voice_sk_24316881.mp3	cistrón	1	2					sk	
a35e527a0519f0503b9497d7ce2da22f24a7a855dbaaee08649877b1aa0c2ed1cc7f19be2266744fbc5738691e1735bd3839c8f77c140af53b13855ed9c28e0a	common_voice_sk_24320032.mp3	Niagara Falls	0	2					sk	
941db464ea78a6abcb55c82d52da03e2b9d1a046f28936b2db0a8b694c53c202975eab88f14ad5f6318d9b09812ddafc3de7a0d66d1233fac3e85205b8cf0fd4	common_voice_sk_24400854.mp3	organická chémia	1	2					sk	
9b49317468ca3010a2cdb45074ce8f1a1f2bd28d98afaf17afce8866940bbf5a91d543a6a4a9a789cce980dfb4e192d87487428d29fd3125615f12a0f1ae2a95	common_voice_sk_24420128.mp3	obluda; netvor; príšera; monštrum	1	2					sk	
9b49317468ca3010a2cdb45074ce8f1a1f2bd28d98afaf17afce8866940bbf5a91d543a6a4a9a789cce980dfb4e192d87487428d29fd3125615f12a0f1ae2a95	common_voice_sk_24420129.mp3	celibátny; slobodný	2	3					sk	
7ce424541232226529419af575368291ed62e62b844b8bbc96e965377145b8615b46f055cd3a41c310f5e3645b081f85d8074a5345e849df775f7f7d9bd5c438	common_voice_sk_24423443.mp3	citadela; bastiónová pevnosť	0	2		male			sk	
941db464ea78a6abcb55c82d52da03e2b9d1a046f28936b2db0a8b694c53c202975eab88f14ad5f6318d9b09812ddafc3de7a0d66d1233fac3e85205b8cf0fd4	common_voice_sk_24423620.mp3	interview; rozhovor	1	2					sk	
941db464ea78a6abcb55c82d52da03e2b9d1a046f28936b2db0a8b694c53c202975eab88f14ad5f6318d9b09812ddafc3de7a0d66d1233fac3e85205b8cf0fd4	common_voice_sk_24423639.mp3	bubeník	0	2					sk	
