client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
35ff3c82b9563e2c2fc428f4095a39e6fb442d7525389cdcd941c600df0ffe9a66c3da27bfeba822424e14bd23d81c26c5566cf5c920c600cc66616055d0881d	common_voice_rm-vallader_20547539.mp3	Il program dal di es vast e varià.	0	2					rm-vallader	
cf13869dab2dccf2a1d74bbf32db55d4e8eda92410f70d19c2bc4be71a94847c8c33ef7d427f5c6ad4069247241ab5c8c9050ef11ede28aabd2f75db16aa2a74	common_voice_rm-vallader_20566879.mp3	Il condictör aintra e controlla ils bigliets.	0	2					rm-vallader	
d8ba1bef2eebe83ffaf648226814fa90292b4be10a9fa162fc3f89f62513b9235b48a6c510f94a18584762a8943124abebbfba89c93490892efc884805f593a4	common_voice_rm-vallader_20566946.mp3	Bleras bes-chas markeschan lur territori o dan infuormaziuns tras l’ösen.	1	2					rm-vallader	
d8ba1bef2eebe83ffaf648226814fa90292b4be10a9fa162fc3f89f62513b9235b48a6c510f94a18584762a8943124abebbfba89c93490892efc884805f593a4	common_voice_rm-vallader_20567007.mp3	A chi o che inscuntraina scha vezzaina da quistas figüras?»	0	2					rm-vallader	
cf13869dab2dccf2a1d74bbf32db55d4e8eda92410f70d19c2bc4be71a94847c8c33ef7d427f5c6ad4069247241ab5c8c9050ef11ede28aabd2f75db16aa2a74	common_voice_rm-vallader_20567015.mp3	Suvent as rechatna in paesagis cun tschiera spessa ingio chi nu’s vezza bod nüglia.	0	2					rm-vallader	
d8ba1bef2eebe83ffaf648226814fa90292b4be10a9fa162fc3f89f62513b9235b48a6c510f94a18584762a8943124abebbfba89c93490892efc884805f593a4	common_voice_rm-vallader_20567088.mp3	Ün punct es dal sgüra la via d’access illa regiun da skis.	0	2					rm-vallader	
d8ba1bef2eebe83ffaf648226814fa90292b4be10a9fa162fc3f89f62513b9235b48a6c510f94a18584762a8943124abebbfba89c93490892efc884805f593a4	common_voice_rm-vallader_20567156.mp3	«Our dals övs naschan davo pac temp uzlanas fich pitschnas.	1	2					rm-vallader	
cfe4494170b218bef2445078daea0566d35b93715a191c58f988d68394a37ad9db8d28edb98dc7f460a1378b6414c54e205ac6da45ce0ddb04b393b89e244d9d	common_voice_rm-vallader_20567201.mp3	Ün fat chi pudess esser positiv per la stagiun.	1	2					rm-vallader	
d8ba1bef2eebe83ffaf648226814fa90292b4be10a9fa162fc3f89f62513b9235b48a6c510f94a18584762a8943124abebbfba89c93490892efc884805f593a4	common_voice_rm-vallader_20567209.mp3	El nu’s adüsarà mai a la s-chürdüm ed a la fraidezza dal muond.	0	2					rm-vallader	
d8ba1bef2eebe83ffaf648226814fa90292b4be10a9fa162fc3f89f62513b9235b48a6c510f94a18584762a8943124abebbfba89c93490892efc884805f593a4	common_voice_rm-vallader_20567216.mp3	El vaiva fat sang.	1	2					rm-vallader	
a5d2b59d2e3f03e76621fd588192d4e3b81ef355ceb8defbf4c340a2b2b6f60616a3ccbf1833005cf515b41e4aef7c6331025d8fff41f035a3563c6ef93961f2	common_voice_rm-vallader_20567813.mp3	Progettà es üna construcziun da lain surtratta cun material chi nu lascha tras laua.	0	2					rm-vallader	
a6db5a7ad0c78b8c29200e3f5bad8b233005b9878c99835e4eadf0472e47da2556846b3c71e607d05daa3e7faf9ffad5ca5d06326b3aee0ae71d161a134b4472	common_voice_rm-vallader_20567981.mp3	Quists dis han gnü lö a Les Cernets ils Champiunadis svizzers da passlung.	1	2					rm-vallader	
a5d2b59d2e3f03e76621fd588192d4e3b81ef355ceb8defbf4c340a2b2b6f60616a3ccbf1833005cf515b41e4aef7c6331025d8fff41f035a3563c6ef93961f2	common_voice_rm-vallader_20568138.mp3	Pleds chi sun hozindi omnipreschaints.	0	2					rm-vallader	
ea51b7880ab7f9319992e8acc3ba7ae595bfc7f5f068ed340556cb89b8cfb51965feca8e443bf6b1f9c04ab359d7b95738283841495ca89761a22c675e872b37	common_voice_rm-vallader_20569098.mp3	La structura previssa ha divers motivs pratics.	1	2					rm-vallader	
ea51b7880ab7f9319992e8acc3ba7ae595bfc7f5f068ed340556cb89b8cfb51965feca8e443bf6b1f9c04ab359d7b95738283841495ca89761a22c675e872b37	common_voice_rm-vallader_20569102.mp3	La baselgia da San Antonio d’eira üna posiziun strategica d’importanza pels Spagnöls.	0	2					rm-vallader	
ea51b7880ab7f9319992e8acc3ba7ae595bfc7f5f068ed340556cb89b8cfb51965feca8e443bf6b1f9c04ab359d7b95738283841495ca89761a22c675e872b37	common_voice_rm-vallader_20569317.mp3	Tuottas duos lessan gnir elettas sco mastrala.	0	2					rm-vallader	
ea51b7880ab7f9319992e8acc3ba7ae595bfc7f5f068ed340556cb89b8cfb51965feca8e443bf6b1f9c04ab359d7b95738283841495ca89761a22c675e872b37	common_voice_rm-vallader_20569318.mp3	Üna da las consequenzas da la refuorma es cha singuls districts vegnan fusiunats.	1	2					rm-vallader	
ea51b7880ab7f9319992e8acc3ba7ae595bfc7f5f068ed340556cb89b8cfb51965feca8e443bf6b1f9c04ab359d7b95738283841495ca89761a22c675e872b37	common_voice_rm-vallader_20569319.mp3	Star salda ed esser in movimaint Che tilla fascinescha insomma vi dal temp?	0	2					rm-vallader	
ea51b7880ab7f9319992e8acc3ba7ae595bfc7f5f068ed340556cb89b8cfb51965feca8e443bf6b1f9c04ab359d7b95738283841495ca89761a22c675e872b37	common_voice_rm-vallader_20569320.mp3	Que sun bain premissas chi stessan imprometter ün avegnir allegraivel e quietond.	0	2					rm-vallader	
