client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
1c10ab549f5bd746bd3a316040b2b416adbd6e86c10407337fc30a09db135e13f942a6803e059cb91c83afaff8665224996f8aa33f618149c2a1f75ceb8d8ec0	common_voice_nn-NO_28551532.mp3	Og lever der nokon som ikkje liv	1	2	twenties	male			nn-NO	
1c10ab549f5bd746bd3a316040b2b416adbd6e86c10407337fc30a09db135e13f942a6803e059cb91c83afaff8665224996f8aa33f618149c2a1f75ceb8d8ec0	common_voice_nn-NO_28551556.mp3	Som ein spegel	0	2	twenties	male			nn-NO	
0b97a66fdebf7b648a68a1deaa920e450272dbd91fb94231850abab7e82418f19b3c7f6cbefe85fa9e564e9137427953eaf60d3396a942b9a9771d0782366d31	common_voice_nn-NO_28722117.mp3	Slik eg har gjort no i lang tid	1	2	thirties	female			nn-NO	
86f57d9e7a0112926da50a206119195c50c7913cab465189b2355bff48023df4807297a22c860f8c1567d6af8c64427d0bae1af52ca41bb403ae3c4de9e84756	common_voice_nn-NO_30577375.mp3	Det er eit argument som ingen greier å stå imot.	1	2	thirties	other			nn-NO	
86f57d9e7a0112926da50a206119195c50c7913cab465189b2355bff48023df4807297a22c860f8c1567d6af8c64427d0bae1af52ca41bb403ae3c4de9e84756	common_voice_nn-NO_30577377.mp3	Ho misliker ektemannen sin og klandrar han for si ulykke.	1	2	thirties	other			nn-NO	
547e1f071f6b4ad36572bf4dbfe2f695c9b748ca99f04f12acf89cb4e42bc1bd89d45b42f1ca4f68ee1b007ef141a3cc80c270ddaf63825b1f96ada72cdf962e	common_voice_nn-NO_30677994.mp3	Kan det vel hende eg ikkje forstod	1	2					nn-NO	
d3e1c11c739f14299c53809de39891ace3e8a1b14a18ddc72de35ffbe161bdec41d5ade458b4831ca4afd06842b704b354633f927b06e23292b90de11cd708df	common_voice_nn-NO_31106468.mp3	Eg las den og leverrte den på Ropeid bokbytte- sentral.	1	2	twenties	male			nn-NO	
7a5ee2ca960afd53feadf1666dac5046e68ab760cacb3ab73c86a5e32833abe7e11e4571eba15444637fc1d6adabeb6f908394510a37c55b86ae6eb7097dafbf	common_voice_nn-NO_31396335.mp3	Så vidt eg hugsar ville ikkje Olivia at Harry skulle vite om ungen.	0	4	twenties	male	Nordhordland		nn-NO	
7a5ee2ca960afd53feadf1666dac5046e68ab760cacb3ab73c86a5e32833abe7e11e4571eba15444637fc1d6adabeb6f908394510a37c55b86ae6eb7097dafbf	common_voice_nn-NO_31396439.mp3	I mitt leseliv har eg lese krim- og spenningsbøker i raptusar.	0	4	twenties	male	Nordhordland		nn-NO	
7a5ee2ca960afd53feadf1666dac5046e68ab760cacb3ab73c86a5e32833abe7e11e4571eba15444637fc1d6adabeb6f908394510a37c55b86ae6eb7097dafbf	common_voice_nn-NO_31396485.mp3	Ikkje heilt topp omsett til norsk?	0	4	twenties	male	Nordhordland		nn-NO	
f93a064b356bf1e71735cee4fd1cc2cf94d3969125fc1f9365852e1af44856a385b2d1e0a6c1b6f193e1d90b75247ba48d705bec1a6ea4a0b598beb9067c31b3	common_voice_nn-NO_32179983.mp3	Ein som har noko å fortelja.	0	4	thirties	male	Sørvestlandsk		nn-NO	
f93a064b356bf1e71735cee4fd1cc2cf94d3969125fc1f9365852e1af44856a385b2d1e0a6c1b6f193e1d90b75247ba48d705bec1a6ea4a0b598beb9067c31b3	common_voice_nn-NO_32180087.mp3	Dette er eit eventyr av ei bok!	2	4	thirties	male	Sørvestlandsk		nn-NO	
c5798f76317d383ac87953214d821e1c96a08f366d1bf1276ab89a3a980e1c1d37b4495ed23b27f5129d6f5b0388409f95010fba18e206ede374262cc00b1117	common_voice_nn-NO_32190621.mp3	Men Sterne vart lesen og berømt over heile Europa.	1	2					nn-NO	
8f9b2598e6dfd7894a7f5a1464316c4319ff34ea102cdeadd215645f03cd6a122545cbbff5919f8707dc21c799d42acd4d6394e9fb1927aa7bba97004272d849	common_voice_nn-NO_32350961.mp3	Sjølv om ikkje du liker det er det nok mange som gjer det.	1	2	thirties	male			nn-NO	
8ad2202e0e86228b3d87bd83b3f08e25d54e5b711ec848707682cc672fea79d7a760b76ada38108103f93e80011c17022c8ed4a9b1b3f4724f3c10ea9b79f3e4	common_voice_nn-NO_32702288.mp3	Eg håper å kunne ta verket på gammalfransk ein gong.	3	6	fourties	male	Hardanger,Vestland		nn-NO	
