client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
e8b0aeb666620913a9cfd484b3bd2ef5d579f4ce53e26afb37b7fffd5b7a9a4c2620c93e789b6fc92c304481e2a1b5f3b4c5e0108a7c1256053fb183883b9510	common_voice_et_18314998.mp3	Kõrvitsaseemned sisaldavad ohtralt magneesiumi, tsinki ja mineraale, mis aitavad parandada ajurakukeste tööd.	3	0	twenties	female			et	
e8b0aeb666620913a9cfd484b3bd2ef5d579f4ce53e26afb37b7fffd5b7a9a4c2620c93e789b6fc92c304481e2a1b5f3b4c5e0108a7c1256053fb183883b9510	common_voice_et_18315000.mp3	Neitsov räägib, et saatuslikku jah-sõna kuuldes oli ta väga rõõmus.	2	0	twenties	female			et	
e8b0aeb666620913a9cfd484b3bd2ef5d579f4ce53e26afb37b7fffd5b7a9a4c2620c93e789b6fc92c304481e2a1b5f3b4c5e0108a7c1256053fb183883b9510	common_voice_et_18315003.mp3	Veel tuli uuringust välja, et Eesti maa-asulates ehk alevikes ja külades oli veebruaris populaarseim partei Reformierakond.	2	0	twenties	female			et	
e8b0aeb666620913a9cfd484b3bd2ef5d579f4ce53e26afb37b7fffd5b7a9a4c2620c93e789b6fc92c304481e2a1b5f3b4c5e0108a7c1256053fb183883b9510	common_voice_et_18315007.mp3	Nii leidsid uurijad tema toast veretööl kasutatud Stanley noa ja mängulooma, millel oli üks kõrv ära lõigatud ja rind läbi torgitud.	2	0	twenties	female			et	
e8b0aeb666620913a9cfd484b3bd2ef5d579f4ce53e26afb37b7fffd5b7a9a4c2620c93e789b6fc92c304481e2a1b5f3b4c5e0108a7c1256053fb183883b9510	common_voice_et_18315009.mp3	Samuti soodustab see rasvade lagunemist.	2	0	twenties	female			et	
e8b0aeb666620913a9cfd484b3bd2ef5d579f4ce53e26afb37b7fffd5b7a9a4c2620c93e789b6fc92c304481e2a1b5f3b4c5e0108a7c1256053fb183883b9510	common_voice_et_18315010.mp3	Xenia kasutab rahu ja mässu, rebitud detaile ja litreid, enneolematuid lõikeid ja väga vaoshoitud vorme nii, nagu mitte keegi teine ei Eesti ega kogu maailma moeareenil.	2	0	twenties	female			et	
e8b0aeb666620913a9cfd484b3bd2ef5d579f4ce53e26afb37b7fffd5b7a9a4c2620c93e789b6fc92c304481e2a1b5f3b4c5e0108a7c1256053fb183883b9510	common_voice_et_18315014.mp3	Mõned näitavad arme ja peksmisest jäänud verevalumeid.	2	0	twenties	female			et	
e8b0aeb666620913a9cfd484b3bd2ef5d579f4ce53e26afb37b7fffd5b7a9a4c2620c93e789b6fc92c304481e2a1b5f3b4c5e0108a7c1256053fb183883b9510	common_voice_et_18315018.mp3	Inimene, kes seda loeb, hakkabki iga päev avokaadot sööma, kuid seejuures ei analüüsi oma senist toitumist egja elustiili.	2	0	twenties	female			et	
e8b0aeb666620913a9cfd484b3bd2ef5d579f4ce53e26afb37b7fffd5b7a9a4c2620c93e789b6fc92c304481e2a1b5f3b4c5e0108a7c1256053fb183883b9510	common_voice_et_18315026.mp3	Kuid Liverpooli edu Meistrite liigas ei sõltu ainult Coutinho jäämisest või mittejäämisest.	2	0	twenties	female			et	
e8b0aeb666620913a9cfd484b3bd2ef5d579f4ce53e26afb37b7fffd5b7a9a4c2620c93e789b6fc92c304481e2a1b5f3b4c5e0108a7c1256053fb183883b9510	common_voice_et_18315027.mp3	Minu töökabinetist avaneb vaade kõrvalasuvale kabelile, mille altarit vaatlen meeleldi.	2	0	twenties	female			et	
