client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073426.mp3	Me ñédél ñwaa wem mbot.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073427.mp3	Hisañgi hi ñgond.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073428.mp3	Mbot i mbambla.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073429.mp3	U boñ bañ tôgôl.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073430.mp3	Ñwel u hyéé hi nyoo u léli ñgéda yoso.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073458.mp3	Banjibo a nlet.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073459.mp3	Tehe le libudge jap li dibee.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073460.mp3	Di bak i pémsan nyogi, me bum nye.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073461.mp3	Me nyegel sa wem.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073462.mp3	Ndudu yem i kôli béé ni mut mpe.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073482.mp3	Me ñkañ matos ma ñkônô u.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073483.mp3	Libehna li ta bé munu lép unu.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073484.mp3	Yééne i miñoñ; yééne ane.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073485.mp3	Me nsomb bitamb.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073496.mp3	Me gwéé bôdôl ni Ñwet wem.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073497.mp3	Jéan Bikôgôô a ñkôt hisigô!	2	1					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073498.mp3	Ba nhéhha tjandi hi ñgéda.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073499.mp3	Di yé bayogga.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073500.mp3	Matjee ma kôp ma mpôbôs nye.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073511.mp3	E i nyandi.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073512.mp3	Me mbem liwanda jem.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073513.mp3	Suñ nyaga, suñ bas.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073514.mp3	Legel pôndi malép.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073515.mp3	Ndap yem i yé ni bibende.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073520.mp3	Me ñke i put i yéñ bijek.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073521.mp3	Sédi pan me bada hiônde!	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073522.mp3	Bokibodbum ba ntôl ha bé.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073523.mp3	A ñkon i tôl.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26073524.mp3	Dokta a mbéélaha me mis.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26160185.mp3	Mut mindañ nunu!	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26160186.mp3	Me mbédne séya malép i ñgii téblé.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26160187.mp3	Linolok jéé li binuga.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26160188.mp3	Kii ba ñgwel nye i wip, a lôndôl nyañ.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26160189.mp3	U ntonda nunu mañge mudaa.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26160190.mp3	A mboñ jeñgeñgi.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26160191.mp3	Ti me tawédé.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26160192.mp3	Kii u nnoñ me kihkis hala?	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26160193.mp3	Mudaa a mbohba libii.	2	0					bas	
c6049aed3273c6d4a89b7a5b011dee0a317a8d32f32736a1640faff37e0a87f8a983861a5d37a574357e33036894a4cf73a6504a004678faa7c1ab2ddc465468	common_voice_bas_26160194.mp3	Man sônda a nhem hiséba.	2	0					bas	
