client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
57269182c8c06938d25e930028f097aeee5f74e517ad2d79e9c42e45645e5e3361c1396031a4499de91a5e151f6726cbeeb1a96236fb8842500423e978c2dc12	common_voice_tk_36921993.mp3	Olaryň arasyna agzalyk düşdümi, näçe uly, baý firmalar pytrap gidýärler.	2	4	twenties	male	Teke		tk	
57269182c8c06938d25e930028f097aeee5f74e517ad2d79e9c42e45645e5e3361c1396031a4499de91a5e151f6726cbeeb1a96236fb8842500423e978c2dc12	common_voice_tk_36921994.mp3	«Nirä?» diýlen sowalam seni şol mana eltmeýärmi näme?	0	4	twenties	male	Teke		tk	
57269182c8c06938d25e930028f097aeee5f74e517ad2d79e9c42e45645e5e3361c1396031a4499de91a5e151f6726cbeeb1a96236fb8842500423e978c2dc12	common_voice_tk_36926219.mp3	ony haçan ýatlasam, ýüzüme bakyp, owadan ýylgyryp dur.	0	4	twenties	male	Teke		tk	
f4247f8606b8f45fe15302ffe628fa02255f41eaf652cf3c5c9a263c200cec55c78d3d56fa491fdc6fa987e6abe70d7ff655bdaed23e57010d1253e12ff67601	common_voice_tk_36931851.mp3	Kakam üçinem tapawudy bolandyr öýdemok.	0	2			Ärsary 		tk	
f4247f8606b8f45fe15302ffe628fa02255f41eaf652cf3c5c9a263c200cec55c78d3d56fa491fdc6fa987e6abe70d7ff655bdaed23e57010d1253e12ff67601	common_voice_tk_36931852.mp3	Hatda Pygamberimiziň salgyt ýygnaýanlara sowgat almagy gadagan eden ýerem bolupdyr.	0	2			Ärsary 		tk	
f4247f8606b8f45fe15302ffe628fa02255f41eaf652cf3c5c9a263c200cec55c78d3d56fa491fdc6fa987e6abe70d7ff655bdaed23e57010d1253e12ff67601	common_voice_tk_36931853.mp3	Hiçkim sizden biriniň aýdymyna görä tans etmegiňize garaşyp bilmez.	0	2			Ärsary 		tk	
f4247f8606b8f45fe15302ffe628fa02255f41eaf652cf3c5c9a263c200cec55c78d3d56fa491fdc6fa987e6abe70d7ff655bdaed23e57010d1253e12ff67601	common_voice_tk_36931854.mp3	Bu dünýäň gurluşy şeýle – diriler ölmeli.	0	2			Ärsary 		tk	
f4247f8606b8f45fe15302ffe628fa02255f41eaf652cf3c5c9a263c200cec55c78d3d56fa491fdc6fa987e6abe70d7ff655bdaed23e57010d1253e12ff67601	common_voice_tk_36931855.mp3	Genleri ýüz göterim meňzeş ekiz bolaýan ýagdaýymyzda-da tejribelerimiz üýtgeşik.	0	2			Ärsary 		tk	
70dc4f59b131a99716e43fba941708ccd4ad69cdb9f0fcb52d9797e00c6d053f69293d59c0df87843f01f536353e8feac16e52a6b94bf50806ef5ffdeb1bfe6d	common_voice_tk_36931856.mp3	Göreçleriň görer görjek zadyny.»	0	4			Ärsary 		tk	
70dc4f59b131a99716e43fba941708ccd4ad69cdb9f0fcb52d9797e00c6d053f69293d59c0df87843f01f536353e8feac16e52a6b94bf50806ef5ffdeb1bfe6d	common_voice_tk_36931858.mp3	Bulara eýe çykjak bolsaň olary ulanyp eden işiňe-de eýe çykmaly bolýar.	2	4			Ärsary 		tk	
70dc4f59b131a99716e43fba941708ccd4ad69cdb9f0fcb52d9797e00c6d053f69293d59c0df87843f01f536353e8feac16e52a6b94bf50806ef5ffdeb1bfe6d	common_voice_tk_36931859.mp3	– Näçe kile?	0	4			Ärsary 		tk	
70dc4f59b131a99716e43fba941708ccd4ad69cdb9f0fcb52d9797e00c6d053f69293d59c0df87843f01f536353e8feac16e52a6b94bf50806ef5ffdeb1bfe6d	common_voice_tk_36931860.mp3	Bu nähili ýaş bolýar?	2	4			Ärsary 		tk	
2da1cf0bc7b85df9480cef3e88bd7e2ca00048bfeae8bab5f78519e11023b0d97ab56a924790348b1e6476529939c7d595f449cb433b35978ec08037f1b6e552	common_voice_tk_36931995.mp3	«Arkasynda odun goýup bolmaz» diýilýän adamyň ýagşygyna ynanmagam şol dereje kyn.	3	6			Burkaz,İşan		tk	
2da1cf0bc7b85df9480cef3e88bd7e2ca00048bfeae8bab5f78519e11023b0d97ab56a924790348b1e6476529939c7d595f449cb433b35978ec08037f1b6e552	common_voice_tk_36931997.mp3	Käte ýaranjaňrak adamlara-da duş gelýänsiňiz.	0	6			Burkaz,İşan		tk	
0842b07d718a92da9d20955f15ea2248078dd17fabacf04aa3e5a22bd736194caa53e183d5b4995ceff435054820cfb6cdd3f285721a2d4514fe5d746defb944	common_voice_tk_36937995.mp3	Adamlar özleriçe kimiň ölüp kimiň ýaşajakdygyna karar bermekleri hem ahmal.	1	2			Teke		tk	
0842b07d718a92da9d20955f15ea2248078dd17fabacf04aa3e5a22bd736194caa53e183d5b4995ceff435054820cfb6cdd3f285721a2d4514fe5d746defb944	common_voice_tk_36937997.mp3	Men diňe iki sany adamyň – är-aýalyň agzybirliginiň gürrüňini etdim.	1	2			Teke		tk	
f9a927add2cb409b03946841b956220880c53806f4c426245e5d5011639715111b5d49973c8a1b182a9cff4d1aa1ff1d632ac2ced1827f19a05a5add2c887872	common_voice_tk_36938004.mp3	Ýaşulydan otagyň içinde näçe gapynyň bardygyny soradylar.	1	2					tk	
f9a927add2cb409b03946841b956220880c53806f4c426245e5d5011639715111b5d49973c8a1b182a9cff4d1aa1ff1d632ac2ced1827f19a05a5add2c887872	common_voice_tk_36938007.mp3	gapydaky garry tut, gör, näçe gezek tudanalap, näçe miweländir.	1	2					tk	
229bf5eac9d16cadbef98194b6c9bc6333f35aae596923eebb6d511c7e030a7f4fa2dec51b0ae6e397fb1b73293991cad9cf7dbe410992accd0312f32b0ab533	common_voice_tk_36939191.mp3	Ýadyma düşýär, «Gurruk guýyny» ýazamda şeýle duýgy bolanam bolsa, beýle agyr däldi.	3	6	twenties	female	Türkmençe,Türkmen		tk	
229bf5eac9d16cadbef98194b6c9bc6333f35aae596923eebb6d511c7e030a7f4fa2dec51b0ae6e397fb1b73293991cad9cf7dbe410992accd0312f32b0ab533	common_voice_tk_36939304.mp3	Gündizki çoz-ha-çoz, top oklarynyň gümmürdisi bolmadyk ýaly.	0	6	twenties	female	Türkmençe,Türkmen		tk	
e0d3fd13de7d9a0bfded4261dc63770e21362b5a603817c397fd958055ba71c0dd2ff235c074a6d7bf47ff864becf9483b952caa469b39ab5c6d9cb3f141479f	common_voice_tk_36939705.mp3	– Näçe diýýäň, onnoň eliňdäkini?	1	2					tk	
229bf5eac9d16cadbef98194b6c9bc6333f35aae596923eebb6d511c7e030a7f4fa2dec51b0ae6e397fb1b73293991cad9cf7dbe410992accd0312f32b0ab533	common_voice_tk_36940201.mp3	Il içinde ýalňyzlyk duýgusynyň berýän jebri hem edil kirinden närazy adamynyň tämizlige teşneligine meňzeýär.	0	6	twenties	female	Türkmençe,Türkmen		tk	
229bf5eac9d16cadbef98194b6c9bc6333f35aae596923eebb6d511c7e030a7f4fa2dec51b0ae6e397fb1b73293991cad9cf7dbe410992accd0312f32b0ab533	common_voice_tk_36940982.mp3	Senden bidin çöp başy gymyldamaz.	0	6	twenties	female	Türkmençe,Türkmen		tk	
