client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37334932.mp3	پښتني هنرونو کې ګنډل، اوبدل او لوښي شامل دي.	0	2	fourties	male			ps	
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37334933.mp3	ها بل ويل پر در مو ندي حلال سوى.	0	2	fourties	male			ps	
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37335211.mp3	پښتانه په زرونو کلن تاریخ او کلتور لري.	1	2	fourties	male			ps	
9340189f26101a104ca89b5dc2cf436c7cf00cdd819c27101b328585caba435f44810d117f6dad4604e6f22cd266e2973e3b279b6af79441cda0e521f6e96031	common_voice_ps_37487248.mp3	مرگ نه په واړه دى نه په زاړه.	1	2					ps	
9340189f26101a104ca89b5dc2cf436c7cf00cdd819c27101b328585caba435f44810d117f6dad4604e6f22cd266e2973e3b279b6af79441cda0e521f6e96031	common_voice_ps_37487251.mp3	هره کوچنۍ مرسته کوي.	1	2					ps	
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37895070.mp3	دا په پنځلس دقیقو کې روان دی.	0	2	fourties	male			ps	
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37895751.mp3	د زده کړې لپاره هیڅکله ناوخته نه دی.	0	2	fourties	male			ps	
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37987211.mp3	دپلار گټلې زوى ته اسانه ده.	0	2	fourties	male			ps	
c42ab63a38d20ac0bfd2ec07407a9bacdda21369b4c4eb6e7d2d5e3b42825dbb1cf5a377d1005bed0b67061da18f997006fc05c3f064f5d2fc3d1fecdcbbc984	common_voice_ps_38140873.mp3	تر يوې خرما ، دوې وڅکي ښه دي	2	2	twenties	male	Marwatwāla 		ps	
c42ab63a38d20ac0bfd2ec07407a9bacdda21369b4c4eb6e7d2d5e3b42825dbb1cf5a377d1005bed0b67061da18f997006fc05c3f064f5d2fc3d1fecdcbbc984	common_voice_ps_38140915.mp3	خاطر افریدي د پښتنو یو مشهور شاعر و.	0	2	twenties	male	Marwatwāla 		ps	
c42ab63a38d20ac0bfd2ec07407a9bacdda21369b4c4eb6e7d2d5e3b42825dbb1cf5a377d1005bed0b67061da18f997006fc05c3f064f5d2fc3d1fecdcbbc984	common_voice_ps_38140957.mp3	لنډۍ د مار سره غزيدله ، پرمنځ دوه ځايه سوه.	2	2	twenties	male	Marwatwāla 		ps	
c42ab63a38d20ac0bfd2ec07407a9bacdda21369b4c4eb6e7d2d5e3b42825dbb1cf5a377d1005bed0b67061da18f997006fc05c3f064f5d2fc3d1fecdcbbc984	common_voice_ps_38201494.mp3	پښتانه حضرت علي ته ډېر احترام لري.	0	4	twenties	male	Marwatwāla 		ps	
