client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
c5a9eb8c3303a493d87ee49d587ee67303a277f338bdd885b2a23f7942a8fc742583ce6c0a18ce2ddde25244651cae5a506d7dde87d8dea0443aec0ad3a81abf	common_voice_fy-NL_20662445.mp3	It boek tilt op fan opfiedkunde en deugdsumens.	0	2					fy-NL	
c5a9eb8c3303a493d87ee49d587ee67303a277f338bdd885b2a23f7942a8fc742583ce6c0a18ce2ddde25244651cae5a506d7dde87d8dea0443aec0ad3a81abf	common_voice_fy-NL_20662457.mp3	Kinst de auto hjir nearne kwyt.	1	3					fy-NL	
c5a9eb8c3303a493d87ee49d587ee67303a277f338bdd885b2a23f7942a8fc742583ce6c0a18ce2ddde25244651cae5a506d7dde87d8dea0443aec0ad3a81abf	common_voice_fy-NL_20698946.mp3	Saterdeitemiddei is in bekende reisboekeskriuwer te gast yn de nije biblioteek.	1	2					fy-NL	
956bcaf14b7e99ad30abe9d5833a18c8ca6c11c859952d203f25bf17d1c0a3d8f7cb04e4a7b71599e01f323b381e787382622d69b4c73d67dd3095f581a722de	common_voice_fy-NL_20699855.mp3	Hy hope mei de lêste liters benzine Lúksemboarch te berikken om te tanken.	1	2					fy-NL	
c5a9eb8c3303a493d87ee49d587ee67303a277f338bdd885b2a23f7942a8fc742583ce6c0a18ce2ddde25244651cae5a506d7dde87d8dea0443aec0ad3a81abf	common_voice_fy-NL_20705265.mp3	Wolle jo wol in bytsje foar de mikrofoan sitten bliuwe?	1	2					fy-NL	
c5a9eb8c3303a493d87ee49d587ee67303a277f338bdd885b2a23f7942a8fc742583ce6c0a18ce2ddde25244651cae5a506d7dde87d8dea0443aec0ad3a81abf	common_voice_fy-NL_20706495.mp3	Hy gie fuortdaliks yn berop en dêrnei sil er yn kassaasje gean.	1	2					fy-NL	
c5a9eb8c3303a493d87ee49d587ee67303a277f338bdd885b2a23f7942a8fc742583ce6c0a18ce2ddde25244651cae5a506d7dde87d8dea0443aec0ad3a81abf	common_voice_fy-NL_20706541.mp3	Wy moatte noch eefkes geduld dwaan, want we kinne dêr earst oare moanne terjochte.	0	2					fy-NL	
c5a9eb8c3303a493d87ee49d587ee67303a277f338bdd885b2a23f7942a8fc742583ce6c0a18ce2ddde25244651cae5a506d7dde87d8dea0443aec0ad3a81abf	common_voice_fy-NL_20720608.mp3	Ik ha in suske ferlern dy't ferdronken is.	0	2					fy-NL	
956bcaf14b7e99ad30abe9d5833a18c8ca6c11c859952d203f25bf17d1c0a3d8f7cb04e4a7b71599e01f323b381e787382622d69b4c73d67dd3095f581a722de	common_voice_fy-NL_20720890.mp3	Wêr is de trep?	1	2					fy-NL	
956bcaf14b7e99ad30abe9d5833a18c8ca6c11c859952d203f25bf17d1c0a3d8f7cb04e4a7b71599e01f323b381e787382622d69b4c73d67dd3095f581a722de	common_voice_fy-NL_20720992.mp3	Ik moast einliks wat koekjes of sokssawat hawwe.	1	2					fy-NL	
c5a9eb8c3303a493d87ee49d587ee67303a277f338bdd885b2a23f7942a8fc742583ce6c0a18ce2ddde25244651cae5a506d7dde87d8dea0443aec0ad3a81abf	common_voice_fy-NL_20750481.mp3	Foar de minder draachkrêftigen soe in minimafûns ynsteld wurde moatte.	1	2					fy-NL	
541d455d0860609b8e656846476a17607b288a98eb811f59110b7ae1c0a5274978af300ae02225f1762907835aaf355f7d2362f39ed0eb9115d2c0784898b37f	common_voice_fy-NL_20755777.mp3	De ynvestearring is yn in pear jier weromfertsjinne.	0	2	fifties	male			fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755789.mp3	De rjochtbank besjocht ûnder oare oft der foar it sikehûs in trochstart yn sit.	1	2					fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755804.mp3	No, ik wit net, hear.	1	2					fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755857.mp3	De webside wie in oere net te berikken.	1	2					fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755861.mp3	Feroardielje jimme my mar, mar ik ferflok jimme allegearre.	1	2					fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755875.mp3	Yn de moderne maatskippij fynt in konsintraasje plak fan bedriuwen.	1	2					fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755879.mp3	Hoe let komt de sinne op yn Parys?	1	2					fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755886.mp3	Sykje op ynternet.	1	2					fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755891.mp3	Wat kin de skuldeasker dwaan as ik benefter bin mei beteljen?	0	2					fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755900.mp3	Do kinst goed harkje en hast geduld.	1	2					fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755901.mp3	Wy binne fan betinken datst dat net fan ûndernimmers freegje meist.	0	2					fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755903.mp3	Dêr stie ik dan yn myn wite nachtklean en op bleate fuotten.	1	2					fy-NL	
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9	common_voice_fy-NL_20755904.mp3	De trije dielen binne útjûn troch de Fryske Akademy.	1	2					fy-NL	
